date,price
2020-04-15,3655
2020-04-16,3750
2020-04-17,3750
2020-04-18,3709
2020-04-19,3868
2020-04-20,4023
2020-04-21,4107
2020-04-22,4107
2020-04-23,4107
2020-04-24,4107
2020-04-25,4235
2020-04-26,4235
2020-04-27,4436
2020-04-28,4587
2020-04-29,4817
2020-04-30,5020
2020-05-01,5020
2020-05-02,5271
2020-05-03,5526
2020-05-04,5590
2020-05-05,5630
2020-05-06,5630
2020-05-07,5738
2020-05-08,5738
2020-05-09,5519
2020-05-10,5519
2020-05-11,5334
2020-05-12,5334
2020-05-13,5162
2020-05-14,4952
2020-05-15,4716
2020-05-16,4511
2020-05-17,4356
2020-05-18,4516
2020-05-19,4723
2020-05-20,4723
2020-05-21,4960
2020-05-22,5201
2020-05-23,5436
2020-05-24,5708
2020-05-25,5973
2020-05-26,5861
2020-05-27,5600
2020-05-28,5600
2020-05-29,5331
2020-05-30,5331
2020-05-31,5064
2020-06-01,4861
2020-06-02,4617
2020-06-03,4500
2020-06-04,4311
2020-06-05,4194
2020-06-06,4194
2020-06-07,4191
2020-06-08,4191
2020-06-09,4252
2020-06-10,4287
2020-06-11,4287
2020-06-12,4240
2020-06-13,4240
2020-06-14,4161
2020-06-15,4161
2020-06-16,4028
2020-06-17,4028
2020-06-18,4120
2020-06-19,4120
2020-06-20,4187
2020-06-21,4187
2020-06-22,4110
2020-06-23,3998
2020-06-24,3935
2020-06-25,3859
2020-06-26,3859
2020-06-27,3931
2020-06-28,3931
2020-06-29,4014
2020-06-30,4001
2020-07-01,4001
2020-07-02,3968
2020-07-03,3968
2020-07-04,3921
2020-07-05,3921
2020-07-06,3906
2020-07-07,3885
2020-07-08,3885
2020-07-09,3812
2020-07-10,3835
2020-07-11,3835
2020-07-12,3742
2020-07-13,3742
2020-07-14,3811
2020-07-15,3811
2020-07-16,3916
2020-07-17,3947
2020-07-18,3947
2020-07-19,4090
2020-07-20,4264
2020-07-21,4264
2020-07-22,4447
2020-07-23,4447
2020-07-24,4384
2020-07-25,4384
2020-07-26,4426
2020-07-27,4426
2020-07-28,4552
2020-07-29,4552
2020-07-30,4778
2020-07-31,4778
2020-08-01,4825
2020-08-02,4825
2020-08-03,4660
2020-08-04,4660
2020-08-05,4714
2020-08-06,4714
2020-08-07,4537
2020-08-08,4379
2020-08-09,4379
2020-08-10,4163
2020-08-11,4163
2020-08-12,3972
2020-08-13,3972
2020-08-14,3888
2020-08-15,3888
2020-08-16,3904
2020-08-17,3904
2020-08-18,3874
2020-08-19,3874
2020-08-20,3843
2020-08-21,3843
2020-08-22,3781
2020-08-23,3743
2020-08-24,3743
2020-08-25,3692
2020-08-26,3692
2020-08-27,3625
2020-08-28,3610
2020-08-29,3610
2020-08-30,3610
2020-08-31,3634
2020-09-01,3634
2020-09-02,3499
2020-09-03,3499
2020-09-04,3460
2020-09-05,3460
2020-09-06,3366
2020-09-07,3366
2020-09-08,3430
2020-09-09,3430
2020-09-10,3458
2020-09-11,3458
2020-09-12,3378
2020-09-13,3378
2020-09-14,3324
2020-09-15,3324
2020-09-16,3324
2020-09-17,3241
2020-09-18,3241
2020-09-19,3232
2020-09-20,3232
2020-09-21,3252
2020-09-22,3319
2020-09-23,3319
2020-09-24,3396
2020-09-25,3396
2020-09-26,3552
2020-09-27,3552
2020-09-28,3645
2020-09-29,3645
2020-09-30,3785
2020-10-01,3785
2020-10-02,3820
2020-10-03,3820
